Access points
21.0 1.0
-15.707010660574749 11.99435285896545
8.912420521255829 -17.36827704208562
4.487721260617593 20.693547176886035
-12.739360149480962 -13.53375322079106
20.466642388067903 5.588009822905566
-17.78358004082341 7.868560318580634
12.915104810511377 -15.063320869438193
-0.12299826828431226 20.96844698241279
-9.038910406508098 -16.297984791590707
18.895016586492712 9.931314649543523
-18.858312881661192 3.3764278853037406
16.282287915001216 -11.901615250929158
21.0 1.0
-15.707010660574749 11.99435285896545
8.912420521255829 -17.36827704208562
4.487721260617593 20.693547176886035
-12.739360149480962 -13.53375322079106
20.466642388067903 5.588009822905566
-17.78358004082341 7.868560318580634
12.915104810511377 -15.063320869438193
-0.12299826828431226 20.96844698241279
-9.038910406508098 -16.297984791590707
18.895016586492712 9.931314649543523
-18.858312881661192 3.3764278853037406
16.282287915001216 -11.901615250929158
21.0 1.0
4.085028997751681 -18.760632481857236
-18.048259608303127 -5.096212422044333
-7.961472322583404 18.879933272011158
17.283619410531237 12.612223684246285
14.985016129567502 -13.297528592583292
-10.969201381157163 -15.02305271467661
-16.677549463647434 10.354370366855179
7.515626110702961 19.908903098422336
20.6876390126501 -2.5209189294242282
0.5580676144263211 -18.99511679802299
-18.823976435104136 -1.6476325841090387
